Local Authority,Estimated proportion of people living with cataract,Latitude,Longitude,Estimated indirect cost of sight loss,Estimated indirect cost of sight loss per person,Estimated number of adults with diabetes,Estimated number of people living with cataract,"Estimated number of people living with Drusen, an early stage age-related macular degeneration",Estimated number of people living with late stage age-related macular degeneration,Estimated number of people living with late stage dry age-related macular degeneration,Estimated number of people living with late stage wet age-related macular degeneration,Estimated number of people living with ocular hypertension,Estimated number of people living with severe sight loss (blindness) in 2011,Estimated number of people living with severe sight loss (blindness) in 2020,Estimated number of people living with severe sight loss (blindness) in 2030,Estimated number of people living with sight loss in 2011,Estimated number of people predicted to be living with sight loss in 2020,Estimated number of people predicted to be living with sight loss in 2030,Estimated proportion of adults with diabetes,"Estimated proportion of people living with Drusen, an early stage age-related macular degeneration",Estimated proportion of people living with glaucoma,Estimated proportion of people living with late stage age-related macular degeneration,Estimated proportion of people living with late stage wet age-related macular degeneration,Estimated proportion of people living with ocular hypertension,Estimated proportion people living with late stage dry age-related macular degeneration,"Estimated rate of NHS sight tests for children aged 0-1per 100,000 population","Estimated rate of NHS sight tests for people aged 60 years and over per 100,000 population","Estimated rate of NHS sight tests per 100,000 population",Estimated total number of people living with glaucoma,Number of NHS sight tests in 2012/13,Number of NHS sight tests recorded for people aged 0-15,Number of NHS sight tests recorded for people aged 60 years and over,Number of NHS sight tests recorded for students aged 16-18,Number of older people living with sight loss 85 and over,Number of older people living with sight loss aged 65-74,Number of older people living with sight loss aged 75-84,Number of people registered blind aged 0-4,Number of people registered blind aged 75+,Number of Records,ONS Area Code,Percentage change in number of registered blind or partially sighted people from 2010/1to 2013/14,Percentage of people living with sight loss compared to overall population in 2011,Percentage of people living with sight loss compared to overall population in 2020,Percentage of people living with sight loss compared to overall population in 2030,Proportion of population aged 0-4,Proportion of population aged 18-29,Proportion of population aged 30-49,Proportion of population aged 5-17,Proportion of population aged 50-64,Proportion of population aged 65-74,Proportion of population aged 75-84,Proportion of population aged 85+,"Rate of registration as blind or partially sighted per 100,000 people",Total number of people registered blind,Total number of people registered partially sighted,Total population,Total population aged 0-4,Total population aged 18-29,Total population aged 30-49,Total population aged 5-17,Total population aged 50-64,Total population aged 65-74,Total population aged 75-84,Total population aged 85+
Anglesey,0.012315236,53.26928,-4.321285,7486000,107.33,4857,859,3540,791,274,559,1515,320,400,550,2650,3170,"4,100",0.069633410,0.050751961,0.009304526,0.011340339,0.008014222,0.021720119,0.003928259,-,-,-,649,-,-,-,-,846.32,548.92,742.4,-,-,1,W06000001,,0.038,0.0444,5.66%,0.0556,0.1271,0.2409,0.1385,0.2136,0.1229,0.0723,0.029,899,282,345,69751,3878,8864,16800,9663,14900,8574,5046,2026
Torfaen,0.010068625,51.665267,-3.039754,8126000,89.22,5776,917,3845,844,292,598,1850,350,440,580,2880,3550,"4,380",0.063420258,0.042217952,0.008696130,0.009267088,0.006566017,0.020312929,0.003206149,-,-,-,792,-,-,-,-,857.88,560.18,813.86,-,-,1,W06000020,,0.0316,0.0391,4.88%,0.0591,0.1472,0.2587,0.1591,0.1962,0.0949,0.0611,0.0237,679,4,614,91075,5381,13402,23563,14491,17868,8644,5568,2158
Moray,0.010000536,57.511548,-3.248377,8292000,88.88,6088,933,4008,849,293,600,1961,350,450,590,2930,3580,"4,510",0.065255373,0.042960502,0.009850474,0.009100166,0.006431213,0.021019347,0.003140576,-,-,-,919,-,-,-,-,802.4781,608.016,844.2966,-,-,1,S12000020,,0.0314,0.0391,4.74%,0.0562,0.1338,0.2686,0.1532,0.2035,0.1006,0.0631,0.021,450,250,144,93295,5246,12485,25059,14294,18989,9381,5885,1956
East Lothian,0.009887983,55.949338,-2.770446,8820000,88.46,6489,986,4196,904,312,640,2106,370,470,630,3120,3830,"4,920",0.065074160,0.042079084,0.009898011,0.009065656,0.006418163,0.021119769,0.003128855,-,-,-,987,-,-,-,-,900.7451,614.8157,877.8035,-,-,1,S12000010,,0.0313,0.035,4.00%,0.0594,0.1274,0.278,0.1533,0.2037,0.0952,0.0608,0.0221,770,375,375,99717,5925,12707,27726,15283,20313,9495,6061,2207
Argyll and Bute,0.011795930,56.370046,-5.031897,9159000,103.97,6236,1040,4435,950,329,671,1956,390,490,630,3240,3880,"4,720",0.070730213,0.050302838,0.010400835,0.010775129,0.007610644,0.022185423,0.003731597,-,-,-,917,-,-,-,-,961.8028,695.7748,897.9775,-,-,1,S12000035,,0.0368,0.0444,5.56%,0.0466,0.118,0.2466,0.1421,0.2274,0.1221,0.0708,0.0265,970,460,416,88166,4107,10404,21743,12527,20049,10761,6243,2332
Ceredigion,0.011485472,52.381599,-3.922482,7601000,100.12,5001,872,3586,800,277,566,1505,330,460,630,2690,3630,"4,690",0.065870235,0.047232686,0.008482390,0.010537130,0.007455020,0.019822976,0.003648481,-,-,-,644,-,-,-,-,857.88,541.43,751.33,-,-,1,W06000008,,0.0354,0.0446,5.58%,0.0457,0.2115,0.211,0.1234,0.2015,0.1109,0.0678,0.0281,449,171,170,75922,3472,16060,16021,9365,15299,8418,5151,2136
East Ayrshire,0.009228864,55.459231,-4.333803,10263000,83.58,7929,1133,5010,1030,357,728,2575,420,530,690,3630,4370,"5,410",0.064585760,0.040809012,0.009831632,0.008389877,0.005929932,0.020974692,0.002907948,-,-,-,1207,-,-,-,-,942.4015,771.4841,1012.6874,-,-,1,S12000008,,0.0296,0.0358,4.44%,0.0551,0.1432,0.2769,0.1463,0.205,0.0971,0.0579,0.0186,590,398,306,122767,6762,17578,33999,17959,25162,11915,7104,2288
East Dunbartonshire,0.010635462,55.975522,-4.210515,9749000,92.85,7078,1117,4797,1014,350,718,2258,410,540,690,3450,4280,"5,270",0.067392836,0.045674404,0.010073696,0.009654752,0.006836402,0.021499438,0.003332508,-,-,-,1058,-,-,-,-,906.2023,715.6324,1031.4117,-,-,1,S12000045,,0.0329,0.042,5.40%,0.0491,0.1234,0.258,0.1558,0.2193,0.1045,0.0686,0.0214,410,247,181,105026,5152,12960,27093,16363,23030,10977,7200,2251
Monmouthshire,0.011650953,51.774928,-2.875924,9456000,103.55,6321,1064,4420,980,340,694,1996,410,530,730,3350,4170,"5,480",0.069215860,0.048399636,0.009362373,0.010731141,0.007599400,0.021856487,0.003723049,-,-,-,855,-,-,-,-,1076.48,644.14,934.07,-,-,1,W06000021,,0.0367,0.0455,5.85%,0.0508,0.1103,0.2586,0.1559,0.2159,0.1103,0.07,0.0282,607,282,272,91323,4637,10073,23619,14234,19717,10070,6396,2577
South Ayrshire,0.011773154,55.270111,-4.652418,11659000,103.45,7863,1328,5583,1226,427,867,2481,500,610,770,4130,4840,"5,870",0.069708065,0.049495120,0.010310375,0.010868891,0.007686238,0.021994876,0.003785495,-,-,-,1163,-,-,-,-,1257.7405,843.833,1173.0368,-,-,1,S12000028,,0.0366,0.0436,5.36%,0.0489,0.1252,0.2528,0.1385,0.2195,0.1156,0.0723,0.0272,780,473,391,112799,5512,14123,28513,15628,24763,13037,8155,3068
Newport,0.009167261,51.584151,-2.997663,12011000,82.42,8750,1336,5563,1222,423,865,2845,510,610,780,4250,4910,"6,020",0.060040072,0.038171763,0.008357578,0.008385025,0.005935390,0.019521601,0.002902509,-,-,-,1218,-,-,-,-,1318.91,809.85,1148.45,-,-,1,W06000022,,0.0292,0.0335,3.95%,0.0655,0.1617,0.271,0.1628,0.1761,0.0861,0.0553,0.0216,504,326,409,145736,9543,23561,39489,23726,25666,12544,8059,3148
Dundee City,0.009642285,56.462018,-2.970721,12451000,84.53,8846,1420,5837,1314,457,930,2796,530,660,780,4410,5220,"6,040",0.060067360,0.039635223,0.008895347,0.008922509,0.006315018,0.018985795,0.003103186,-,-,-,1310,-,-,-,-,1306.4023,808.2521,1313.2952,-,-,1,S12000042,,0.0299,0.035,3.96%,0.0529,0.2251,0.247,0.1287,0.1793,0.0839,0.0612,0.0219,570,451,362,147268,7791,33154,36370,18957,26399,12352,9019,3226
Gwynedd,0.011643172,52.892893,-3.995846,12471000,102.33,8041,1419,5743,1319,459,933,2487,550,610,780,4410,4880,"5,950",0.065977977,0.047122438,0.008738533,0.010822653,0.007655447,0.020406321,0.003766185,-,-,-,1065,-,-,-,-,1443.25,850.06,1273.64,-,-,1,W06000002,,0.0362,0.04,4.74%,0.056,0.1675,0.2369,0.1388,0.1946,0.1077,0.0703,0.0283,277,149,188,121874,6819,20411,28868,16916,23720,13130,8565,3445
Angus,0.011071065,56.796997,-2.920682,11286000,97.3,7841,1284,5404,1181,410,836,2502,480,590,780,3990,4760,"5,970",0.067607650,0.046595044,0.010113987,0.010182966,0.007208264,0.021573057,0.003535153,-,-,-,1173,-,-,-,-,1186.8179,795.6281,1139.6641,-,-,1,S12000041,,0.0344,0.0419,5.18%,0.0514,0.1258,0.2612,0.1485,0.2143,0.1059,0.0679,0.025,560,329,288,115978,5967,14590,30289,17221,24850,12281,7875,2905
Scottish Borders,0.011530693,55.54857,-2.786139,11508000,101.04,7991,1313,5544,1194,412,845,2535,490,580,790,4070,4760,"6,100",0.070176517,0.048687099,0.010432950,0.010485642,0.007420743,0.022262229,0.003618161,-,-,-,1188,-,-,-,-,1211.2191,838.9536,1138.7146,-,-,1,S12000026,,0.0357,0.0401,4.95%,0.0502,0.111,0.2612,0.1433,0.2252,0.1137,0.0694,0.0261,670,325,430,113870,5712,12634,29743,16316,25646,12951,7899,2969
Denbighshire,0.011692662,53.128309,-3.337108,9563000,102.02,6356,1096,4509,999,345,707,1991,410,580,800,3380,4610,"6,020",0.067808906,0.048104210,0.009100220,0.010657819,0.007542621,0.021240958,0.003680628,-,-,-,853,-,-,-,-,1062.44,686.14,950.34,-,-,1,W06000004,,0.0361,0.0442,5.48%,0.0568,0.1281,0.2474,0.1512,0.2064,0.1129,0.0696,0.0276,,-,-,93734,5323,12007,23194,14173,19347,10585,6522,2583
North Ayrshire,0.009938760,55.71139,-4.729983,12349000,89.35,9102,1373,6030,1256,436,888,2927,510,630,820,4370,5160,"6,370",0.065886815,0.043649472,0.009931522,0.009091830,0.006427982,0.021187729,0.003156081,-,-,-,1372,-,-,-,-,1185.5647,944.7296,1207.7578,-,-,1,S12000021,,0.0316,0.0385,4.86%,0.0537,0.1346,0.263,0.1495,0.2117,0.1056,0.0611,0.0208,780,600,463,138146,7420,18591,36330,20659,29248,14583,8443,2872
Falkirk,0.008750561,56.001878,-3.783913,12382000,79.37,9845,1365,6009,1238,428,875,3263,510,640,860,4380,5360,"6,810",0.063113020,0.038521700,0.009801910,0.007936406,0.005609334,0.020918008,0.002743766,-,-,-,1529,-,-,-,-,1133.0767,912.626,1210.9756,-,-,1,S12000014,,0.0281,0.0333,4.09%,0.0599,0.1405,0.2954,0.146,0.1961,0.0901,0.0542,0.0179,580,480,412,155990,9339,21916,46081,22776,30582,14051,8457,2788
Renfrewshire,0.009164818,55.829858,-4.542839,14512000,82.97,11113,1603,6995,1464,506,1035,3641,600,700,880,5130,5800,"7,020",0.063536259,0.039992453,0.009759416,0.008370115,0.005917397,0.020816658,0.002892949,-,-,-,1707,-,-,-,-,1377.1741,1049.2555,1438.3744,-,-,1,S12000038,,0.0293,0.0339,4.12%,0.0551,0.1502,0.2809,0.1442,0.201,0.0923,0.0571,0.0192,630,481,591,174908,9636,26264,49138,25226,35165,16147,9979,3353
Bridgend,0.009671069,51.504286,-3.576945,12049000,86.57,8917,1346,5759,1225,423,866,2894,500,650,880,4260,5260,"6,840",0.064069034,0.041378666,0.008902269,0.008801678,0.006222248,0.020793516,0.003039273,-,-,-,1239,-,-,-,-,1224.65,886.96,1160.6,-,-,1,W06000013,,0.0306,0.0366,4.54%,0.0555,0.143,0.277,0.1517,0.1942,0.0989,0.0578,0.0218,535,383,361,139178,7727,19899,38557,21119,27022,13769,8045,3040
The Vale of Glamorgan,0.010274189,51.444358,-3.415117,11579000,91.65,8131,1298,5441,1198,414,849,2632,490,640,880,4100,5140,"6,700",0.064360119,0.043067693,0.008920656,0.009482649,0.006720175,0.020833333,0.003276976,-,-,-,1127,-,-,-,-,1306.64,803,1077.87,-,-,1,W06000014,,0.0325,0.0381,4.70%,0.058,0.1329,0.266,0.1581,0.2025,0.0979,0.0596,0.025,564,326,386,126336,7333,16786,33601,19980,25581,12367,7535,3153
Wre-ham,0.009314467,53.04304,-2.992494,11453000,84.93,8417,1256,5364,1153,399,816,2731,480,640,890,4050,5190,"6,780",0.062420278,0.039779301,0.008669277,0.008550621,0.006051437,0.020253033,0.002958975,-,-,-,1169,-,-,-,-,1213.09,802.68,1086.8,-,-,1,W06000006,,0.03,0.0364,4.53%,0.0655,0.1517,0.2723,0.1499,0.1912,0.0928,0.0553,0.0213,498,321,350,134844,8829,20452,36721,20208,25783,12516,7458,2877
West Lothian,0.006881074,55.90702,-3.551717,11523000,65.85,10404,1205,5719,1076,369,760,3512,450,640,910,4080,5440,"7,320",0.059411368,0.032657979,0.009399376,0.006144428,0.004339931,0.020055049,0.002107151,-,-,-,1646,-,-,-,-,868.0093,927.4081,1040.7273,-,-,1,S12000040,,0.0233,0.0291,3.67%,0.066,0.1445,0.3025,0.1628,0.1878,0.0821,0.0421,0.0122,450,398,364,175118,11565,25301,52973,28511,32881,14373,7379,2135
Neath Port Talbot,0.010506966,51.665173,-3.771648,13010000,93.06,9099,1469,6136,1359,471,962,2929,560,690,920,4600,5580,"7,080",0.065080251,0.043887506,0.008969187,0.009720196,0.006880668,0.020949561,0.003368810,-,-,-,1254,-,-,-,-,1413.17,892.2,1289.91,-,-,1,W06000012,,0.0329,0.0385,4.72%,0.0544,0.1433,0.2646,0.1476,0.2039,0.0991,0.0625,0.0247,690,467,497,139812,7599,20033,36990,20637,28502,13862,8737,3452
Conwy,0.014276044,53.282872,-3.82948,14117000,122.51,8278,1645,6412,1534,535,1086,2549,630,720,930,5000,5620,"6,990",0.071840178,0.055646197,0.009468185,0.013312736,0.009424793,0.022121359,0.004642969,-,-,-,1091,-,-,-,-,1790.67,906.68,1463.72,-,-,1,W06000003,,0.0434,0.0487,5.93%,0.0507,0.118,0.2376,0.14,0.2093,0.1212,0.0861,0.0371,308,208,147,115228,5839,13592,27383,16136,24116,13966,9921,4275
Pembrokeshire,0.011997811,51.875708,-4.939193,12873000,105.14,8408,1469,6076,1342,464,950,2620,560,700,950,4560,5540,"7,160",0.068670930,0.049624711,0.009163747,0.010960560,0.007758966,0.021398411,0.003789642,-,-,-,1122,-,-,-,-,1443.25,931.53,1276,-,-,1,W06000009,,0.0372,0.0445,5.56%,0.0554,0.1255,0.239,0.1505,0.2116,0.1174,0.0723,0.0283,551,304,370,122439,6784,15368,29260,18424,25910,14380,8847,3466
Flintshire,0.009416023,53.197787,-3.159979,13086000,85.8,9782,1436,6257,1294,445,916,3161,540,700,980,4630,5730,"7,480",0.064141739,0.041027894,0.008871782,0.008484912,0.006006321,0.020727053,0.002917918,-,-,-,1353,-,-,-,-,1311.12,989.39,1216.69,-,-,1,W06000005,,0.0304,0.0375,4.90%,0.0613,0.1378,0.2708,0.1532,0.2009,0.1003,0.055,0.0207,445,372,306,152506,9349,21016,41291,23368,30646,15299,8384,3153
Isles of Scilly,0.013163867,49.925002,-6.298672,132000,59.88,159,29,114,26,9,18,50,0,0,-,50,60,60,0.072174308,0.051747617,0.010440309,0.011802088,0.008170676,0.022696323,0.004085338,-,-,-,23,-,-,-,-,0,26.24,0,-,-,1,E06000053,-,0.0227,0.0256,2.76%,0.0477,0.1239,0.2733,0.1126,0.2129,0.123,0.0749,0.0318,-,-,-,2203,105,273,602,248,469,271,165,70
City of London,0.007728814,51.507351,-0.127758,515000,69.62,475,57,251,50,17,35,163,20,29,40,180,270,370,0.064406780,0.034033898,0.010169492,0.006779661,0.004745763,0.022101695,0.002305085,-,-,-,75,-,-,-,-,37.87,31.48,59.31,-,-,1,E09000001,-,0.0243,0.0204,2.43%,0.032,0.216,0.3586,0.0618,0.1912,0.0796,0.0449,0.0159,-,-,-,7375,236,1593,2645,456,1410,587,331,117
Cheshire West and Chester,0.010360792,53.230297,-2.715112,30364000,92.12,21599,3415,14299,3123,1080,2210,6943,1290,1630,"2,180",10740,13080,"16,680",0.065529356,0.043381835,0.009675129,0.009474891,0.006704934,0.021064416,0.003276619,"23,329","52,428","24,344",3189,"80,239","13,563","43,927","3,713",3283.35,2124.88,2950.88,0,"1,370",1,E06000050,106.9%,0.0326,0.0383,4.70%,0.0548,0.1414,0.2723,0.1456,0.2006,0.0995,0.0619,0.0241,"1,280","1,990","2,230",329608,18050,46603,89756,47989,66110,32782,20387,7931
Middlesbrough,0.008431350,54.574227,-1.234956,10490000,75.8,7983,1167,4971,1069,371,757,2582,440,550,700,3710,4510,"5,450",0.057675635,0.035914516,0.008568621,0.007723319,0.005469179,0.018654452,0.002680403,"6,805","23,166","32,509",1186,"44,982","6,805","23,166","1,851",1020.09,710.64,1068.06,0,100,1,E06000002,-3.1%,0.0268,0.0314,3.75%,0.0681,0.1876,0.2551,0.1613,0.1784,0.0783,0.0534,0.0178,455,225,405,138412,9431,25961,35313,22319,24697,10833,7393,2465
Hartlepool,0.009475377,54.691745,-1.212926,7732000,84.04,5726,872,3711,794,276,561,1844,330,370,480,2740,3100,"3,840",0.062220194,0.040324684,0.009203721,0.008627809,0.006095971,0.020037380,0.002999087,"4,227","13,110","28,524",847,"26,267","4,227","13,110","2,042",759.14,528.57,796.71,0,110,1,E06000001,15.2%,0.0298,0.0328,3.98%,0.0619,0.1524,0.2623,0.1594,0.1945,0.0888,0.0605,0.0202,494,220,235,92028,5698,14028,24136,14672,17896,8174,5568,1856
Halton,0.007968444,53.34902719,-2.713691,9318000,74.07,7571,1002,4546,906,311,641,2502,380,440,590,3300,3750,"4,750",0.060208675,0.036152243,0.009137468,0.007205001,0.005097578,0.019897253,0.002473240,"20,322","38,284","23,231",1149,"29,207","4,819","11,370",981,815.53,670.38,897.47,0,130,1,E06000006,25.2%,0.0262,0.0299,3.66%,0.0664,0.1534,0.2726,0.1584,0.2022,0.0825,0.0488,0.0157,592,280,465,125746,8354,19295,34284,19912,25420,10370,6132,1979
Redcar & Cleveland,0.010608314,54.614504,-1.075394,12646000,93.54,8892,1434,6047,1306,452,924,2821,530,670,870,4470,5420,"6,670",0.065780421,0.044733941,0.009587430,0.009661407,0.006835482,0.020868935,0.003343764,"4,029","15,511","23,659",1296,"31,979","4,029","15,511","3,425",1292.6,941.05,1260.61,0,140,1,E06000003,5.9%,0.0331,0.0399,4.97%,0.0559,0.1423,0.2554,0.1496,0.2027,0.1067,0.0645,0.023,533,250,470,135177,7553,19235,34518,20221,27398,14418,8721,3113
Slough,0.005306515,51.510538,-0.595041,7319000,52.2,6835,744,3277,679,234,481,2461,290,390,520,2590,3350,"4,260",0.048750045,0.023372918,0.008059627,0.004842909,0.003430691,0.017552869,0.001668985,"20,540","53,879","18,764",1130,"26,308","6,893","9,690",802,695.67,429.35,652.2,0,145,1,E06000039,12.6%,0.0185,0.0226,2.63%,0.0911,0.186,0.3202,0.1744,0.1368,0.0473,0.0321,0.012,414,310,270,140205,12777,26080,44895,24447,19182,6637,4505,1682
Thurrock,0.007216005,51.493456,0.35292,10654000,67.56,8883,1138,4948,1044,360,740,3030,440,580,790,3770,4880,"6,360",0.056326686,0.031375036,0.008826607,0.006619955,0.004692305,0.019213088,0.002282743,"30,607","69,284","26,663",1392,"42,049","10,498","19,926","1,769",1057.96,689.77,975.52,0,145,1,E06000034,84.1%,0.0239,0.0275,3.23%,0.0761,0.1559,0.305,0.1675,0.1685,0.0681,0.0422,0.0167,368,270,310,157705,12005,24589,48101,26410,26579,10738,6657,2626
Rochdale,0.008148362,53.609714,-2.1561,15800000,74.63,12347,1725,7464,1583,547,1121,4075,650,780,"1,020",5590,6530,"8,070",0.058323374,0.035257606,0.008842744,0.007477598,0.005295254,0.019249028,0.002583857,"24,364","36,165","24,103",1872,"51,082","10,905","15,716","1,875",1549.07,1079.51,1522.13,0,150,1,E08000005,-61.6%,0.0264,0.0303,3.60%,0.0697,0.1587,0.2739,0.1701,0.182,0.0786,0.049,0.018,342,315,410,211699,14754,33596,57985,36018,38530,16642,10367,3807
Telford and Wrekin,0.007615173,52.740992,-2.486859,11973000,71.87,9828,1269,5720,1150,396,814,3246,480,680,960,4240,5660,"7,470",0.058977082,0.034325286,0.008947378,0.006901063,0.004884752,0.019479000,0.002376366,"29,782","46,514","25,934",1491,"43,266","10,201","15,965","1,826",1114.35,893.3,1076.99,0,155,1,E06000020,0.8%,0.0255,0.0325,4.10%,0.0681,0.1579,0.2819,0.1652,0.1823,0.0836,0.0449,0.0161,399,310,355,166641,11344,26316,46982,27532,30378,13928,7481,2680
Peterborough,0.007836367,52.569498,-0.24053,13106000,71.34,10265,1439,6040,1324,457,939,3453,550,640,850,4640,5400,"6,900",0.055900148,0.032892050,0.008636886,0.007210112,0.005113516,0.018804015,0.002488687,"29,921","47,572","29,902",1586,"55,156","11,744","16,392","2,739",1348.99,828.46,1285.79,0,185,1,E06000031,-12.4%,0.0253,0.0268,3.11%,0.0757,0.1734,0.2886,0.1632,0.1636,0.0692,0.0481,0.0182,422,370,405,183631,13904,31846,52992,29973,30038,12701,8829,3348
West Berkshire,0.008542341,51.465986,-1.281401,12137000,78.91,9546,1314,5715,1196,411,849,3179,500,660,910,4290,5420,"7,120",0.062058743,0.037153333,0.009491490,0.007775221,0.005519367,0.020666745,0.002671919,"23,511","54,346","20,470",1460,"31,554","7,240","16,497","1,513",1254.73,827.95,1103.07,0,185,1,E06000037,-5.7%,0.0279,0.0332,4.18%,0.0654,0.1241,0.2958,0.1647,0.1965,0.0842,0.0493,0.0201,377,270,310,153822,10065,19082,45496,25329,30224,12949,7590,3087
Hampshire,0.010532802,51.08952,-1.216844,123326000,93.59,85757,13880,57123,12767,4409,9052,27707,5310,7050,"9,700",43640,55920,"73,280",0.065076477,0.043347640,0.009658610,0.009688205,0.006869087,0.021025385,0.003345758,"20,918","45,499","22,783",12728,"301,218","51,533","151,739","23,273",14087.42,8192.49,11937.98,0,"2,020",1,E10000014,20.9%,0.0331,0.0406,5.07%,0.0587,0.1304,0.2754,0.1539,0.197,0.0963,0.0624,0.026,460,"2,970","3,095",1317788,77307,171787,362906,202854,259562,126964,82172,34236
Esse-,0.010421308,51.766837,0.475776,128950000,92.53,89960,14523,59972,13364,4619,9472,29068,5540,7250,"9,890",45630,58000,"75,730",0.064552841,0.043034271,0.009581748,0.009589642,0.006796849,0.020858404,0.003314468,"31,685","49,173","25,304",13353,"352,635","82,338","172,071","15,065",14479.79,8605.36,12621.76,0,"2,325",1,E10000012,3.1%,0.0327,0.0379,4.55%,0.0587,0.1359,0.2737,0.1535,0.1948,0.0957,0.0624,0.0252,508,"3,440","3,640",1393587,81796,189446,381454,213981,271477,133323,86926,35184
South Tyneside,0.010504500,54.963669,-1.441863,13666000,92.28,9569,1556,6446,1447,505,1024,3082,590,710,880,4840,5740,"6,900",0.064599972,0.043516712,0.009559365,0.009768644,0.006912987,0.020806470,0.003409237,"4,786","15,236","20,797",1416,"30,814","4,786","15,236",733,1462.6,887.47,1413.32,0,200,1,E08000023,-14.7%,0.0327,0.037,4.37%,0.0552,0.1495,0.2643,0.145,0.2046,0.092,0.065,0.0242,550,380,435,148127,8182,22145,39156,21480,30311,13634,9632,3587
Kingston-upon-Thames,0.007628389,51.41233,-0.300689,11455000,71.55,8977,1221,5044,1141,395,810,3068,490,570,780,4050,4860,"6,360",0.056085218,0.031513183,0.008802949,0.007128577,0.005060602,0.019167812,0.002467825,"31,555","53,257","24,162",1409,"38,764","9,594","15,169","2,188",1375.3,657.65,997.48,0,200,1,E09000021,5.3%,0.0253,0.0243,2.87%,0.0685,0.1906,0.3127,0.142,0.1591,0.064,0.0423,0.0209,375,355,245,160060,10964,30506,50046,22728,25458,10241,6775,3342
Be-ley,0.009379432,51.439933,0.154327,19269000,83.06,13933,2176,8874,2012,698,1426,4579,830,960,"1,190",6820,7840,"9,560",0.060056811,0.038250495,0.009064772,0.008672526,0.006146631,0.019737324,0.003008660,"28,049","39,007","21,758",2103,"50,648","13,347","19,587","2,218",2096.57,1210.39,1964.07,0,205,1,E09000004,20.4%,0.0294,0.0311,3.48%,0.0654,0.1499,0.2808,0.1679,0.1756,0.0806,0.0578,0.022,267,335,285,231997,15182,34776,65140,38958,40729,18695,13408,5109
Wokingham,0.008427257,51.410457,-0.833861,11932000,77.28,9560,1301,5692,1174,403,832,3202,490,720,"1,010",4220,5870,"7,810",0.061925120,0.036870061,0.009528436,0.007604612,0.005389299,0.020741029,0.002610442,"23,511","54,346","20,470",1471,"31,717","7,278","16,583","1,521",1186.78,843.21,1092.38,0,210,1,E06000041,-0.8%,0.0273,0.0324,4.02%,0.065,0.1221,0.3013,0.1647,0.1928,0.0845,0.0505,0.0191,392,315,290,154380,10031,18848,46521,25429,29762,13052,7791,2946
Swindon,0.007850600,51.555774,-1.779718,14967000,71.58,12318,1642,7012,1496,514,1062,4160,620,840,"1,160",5300,6950,"9,220",0.058893840,0.033525216,0.009136721,0.007152556,0.005077550,0.019889460,0.002457496,"10,765","89,068","23,925",1911,"50,040","4,455","35,488",841,1484.89,974.41,1428.73,0,210,1,E06000030,11.7%,0.0253,0.0306,3.73%,0.0673,0.156,0.3094,0.1551,0.1743,0.0725,0.0473,0.0181,296,375,245,209156,14083,32624,64709,32440,36446,15160,9899,3795
Hammersmith & Fulham,0.004997452,51.481517,-0.190973,9114000,49.94,9056,912,4046,833,286,592,3302,360,490,590,3230,4100,"4,790",0.049623821,0.022170713,0.008312648,0.004564559,0.003243960,0.018093845,0.001567183,"16,698","29,150","13,594",1517,"24,802","4,950","6,751","2,200",820.01,589.45,773.29,0,225,1,E09000013,-2.4%,0.0177,0.0229,2.59%,0.0652,0.2564,0.3522,0.113,0.1234,0.0499,0.029,0.011,449,495,325,182493,11900,46783,64273,20613,22511,9102,5300,2011
Torbay,0.013752396,50.461921,-3.525315,15743000,120.26,9299,1801,7064,1682,584,1192,2875,710,900,"1,190",5570,6890,"8,760",0.071006956,0.053940546,0.010087127,0.012843714,0.009102085,0.021953436,0.004459411,"27,084","37,069","29,563",1321,"38,784","5,875","15,285","1,245",2127.36,1000.65,1484.8,0,225,1,E06000027,-2.9%,0.0426,0.0502,6.15%,0.0511,0.1246,0.2413,0.1382,0.2092,0.1188,0.078,0.0387,645,460,385,130959,6690,16318,31602,18099,27396,15564,10219,5071
Milton Keynes,0.006161056,52.040622,-0.759417,15175000,60.99,13514,1533,7061,1406,482,997,4745,610,860,"1,300",5370,7370,"10,430",0.054312136,0.028377830,0.008761318,0.005650648,0.004006897,0.019069934,0.001937136,"22,691","43,080","24,160",2180,"60,116","12,569","17,525","5,101",1481.12,994.4,1229.72,0,225,1,E06000042,9.6%,0.0216,0.0268,3.45%,0.08,0.156,0.3114,0.1681,0.1739,0.0622,0.0341,0.0143,436,510,575,248821,19908,38822,77478,41823,43279,15467,8494,3550
Medway Towns,0.007630956,51.413396,0.653061,18893000,71.59,15293,2014,8914,1842,637,1303,5066,770,940,"1,290",6690,8000,"10,390",0.057944492,0.033774747,0.008816899,0.006979255,0.004937009,0.019194847,0.002413564,"26,800","33,980","20,790",2327,"55,070","14,351","17,922","2,513",1847.89,1333.77,1709.7,0,230,1,E06000035,-6.4%,0.0254,0.0283,3.43%,0.0653,0.1695,0.2805,0.1654,0.1792,0.0782,0.0453,0.0167,474,420,830,263925,17224,44732,74020,43653,47291,20652,11946,4407
